timestamp,evento,ação,usuario,cod1,descricao_rede,cod2,nat_policy,porta_saida,porta_entrada,ip_origem,ip_destino,porta_origem,porta_destino,protocolo,flag
2025-03-06 10:01:35,Allowed Access,Allowed,guest@pmg.local,179.87,ACESSO INTERNET REDE DE ACESSO,186,Redirecionamento SNAT,Port43.21,Port37,192.168.41.86,10.74.226.41,61592,8443.0,TCP,1
2025-03-06 10:01:19,Firewall Rule,Allowed,vazio@pmg.local,238.22,VPN CORPORATIVA,253,Custom SNAT,Port6.2,Port30,10.143.241.35,10.52.72.227,8108,3306.0,UDP,0
2025-03-06 10:01:34,Session Log,Allowed,guest@pmg.local,173.7,ACESSO INTERNET REDE DE ACESSO,110,Custom SNAT,Port29.79,Port21,10.197.82.37,172.25.7.134,29910,3389.0,TCP,1
2025-03-06 10:01:55,Firewall Rule,Allowed,guest@pmg.local,61.41,ACESSO À REDE WI-FI,275,Redirecionamento SNAT,Port46.63,Port47,192.168.173.213,172.29.48.151,2185,3389.0,TCP,0
2025-03-06 10:01:19,Allowed Access,Allowed,vazio@pmg.local,201.86,REDE EDUCACIONAL,249,Default SNAT IPv4,Port1.2,Port30,10.70.242.25,172.21.42.184,28589,110.0,ICMP,0
2025-03-06 10:00:15,Firewall Rule,Allowed,scanner@iot.local,102.22,VPN CORPORATIVA,142,Default SNAT IPv4,Port47.62,Port10,10.173.128.203,172.28.75.32,48255,8080.0,UDP,1
2025-03-06 10:01:01,Firewall Rule,Allowed,admin@pmg.local,57.5,ACESSO INTERNET REDE DE ACESSO,68,Default SNAT IPv4,Port41.26,Port47,10.133.26.184,172.23.30.1,9233,3389.0,ICMP,1
2025-03-06 10:00:19,Allowed Access,Allowed,usuario@pmg.local,145.49,TRÁFEGO INTERNO,155,Custom SNAT,Port23.3,Port11,10.216.116.70,10.80.141.39,36952,443.0,UDP,1
2025-03-06 10:00:34,Allowed Access,Allowed,admin@pmg.local,19.27,VPN CORPORATIVA,97,Default SNAT IPv4,Port9.84,Port1,172.22.197.161,172.20.155.2,19186,80.0,UDP,1
2025-03-06 10:01:58,Allowed Access,Allowed,scanner@iot.local,195.48,REDE EDUCACIONAL,267,Default SNAT IPv4,Port48.63,Port24,172.23.225.251,172.18.52.52,55732,143.0,TCP,0
2025-03-06 10:01:11,Session Log,Accepted,admin@pmg.local,92.85,REDE CONVIDADO,159,Default SNAT IPv4,Port34.63,Port8,192.168.122.171,10.212.192.46,15676,3389.0,UDP,0
2025-03-06 10:01:04,Firewall Rule,Allowed,vazio@pmg.local,174.29,TRÁFEGO INTERNO,154,Redirecionamento SNAT,Port1.6,Port41,10.93.33.79,10.228.15.196,19122,110.0,TCP,0
2025-03-06 10:01:13,Allowed Access,Allowed,admin@pmg.local,200.12,REDE EDUCACIONAL,168,Redirecionamento SNAT,Port47.15,Port28,10.189.117.192,172.25.3.39,56096,27296.0,TCP,0
2025-03-06 10:00:38,Session Log,Accepted,scanner@iot.local,220.06,VPN CORPORATIVA,236,Redirecionamento SNAT,Port6.1,Port20,192.168.232.159,172.18.191.157,49567,37383.0,ICMP,0
2025-03-06 10:01:05,Firewall Rule,Allowed,usuario@pmg.local,125.23,TRÁFEGO INTERNO,254,Redirecionamento SNAT,Port36.11,Port18,172.27.19.38,172.23.3.192,11248,30508.0,TCP,0
2025-03-06 10:00:48,Allowed Access,Allowed,vazio@pmg.local,234.39,ACESSO À REDE WI-FI,283,Redirecionamento SNAT,Port26.52,Port36,10.238.26.30,192.168.165.101,49232,110.0,UDP,0
2025-03-06 10:01:24,Allowed Access,Allowed,usuario@pmg.local,50.49,ACESSO INTERNET REDE DE ACESSO,276,Default SNAT IPv4,Port20.48,Port10,10.57.138.219,10.130.139.193,29750,3306.0,ICMP,0
2025-03-06 10:01:39,Allowed Access,Allowed,vazio@pmg.local,75.64,VPN CORPORATIVA,245,Default SNAT IPv4,Port19.63,Port43,192.168.241.126,172.18.52.52,35949,143.0,UDP,0
2025-03-06 10:01:26,Firewall Rule,Allowed,guest@pmg.local,169.87,ACESSO INTERNET REDE DE ACESSO,252,Redirecionamento SNAT,Port15.82,Port5,192.168.101.141,192.168.155.250,9033,25112.0,ICMP,0
2025-03-06 10:01:44,Session Log,Allowed,vazio@pmg.local,43.18,TRÁFEGO INTERNO,135,SNAT Alternativo,Port48.46,Port9,192.168.90.115,192.168.75.167,31450,8443.0,UDP,0
2025-03-06 10:01:07,Firewall Rule,Allowed,admin@pmg.local,52.78,REDE CONVIDADO,100,SNAT Alternativo,Port4.38,Port19,172.24.144.62,192.168.160.0,7613,443.0,TCP,0
2025-03-06 10:00:20,Session Log,Allowed,vazio@pmg.local,210.81,REDE CONVIDADO,101,SNAT Alternativo,Port48.23,Port18,172.25.218.25,192.168.174.156,56904,143.0,UDP,0
2025-03-06 10:01:34,Allowed Access,Allowed,scanner@iot.local,68.06,REDE EDUCACIONAL,215,Default SNAT IPv4,Port33.92,Port18,192.168.115.220,172.23.91.150,56511,31922.0,UDP,0
2025-03-06 10:00:42,Firewall Rule,Allowed,vazio@pmg.local,102.37,VPN CORPORATIVA,73,Default SNAT IPv4,Port25.79,Port49,10.149.1.68,10.69.126.99,30001,80.0,ICMP,1
2025-03-06 10:01:01,Firewall Rule,Allowed,usuario@pmg.local,153.76,REDE CONVIDADO,224,Custom SNAT,Port45.32,Port50,10.158.32.98,172.28.48.48,57844,143.0,UDP,1
2025-03-06 10:01:37,Allowed Access,Allowed,admin@pmg.local,12.73,VPN CORPORATIVA,98,Custom SNAT,Port2.15,Port39,192.168.170.171,172.29.240.111,12670,22.0,TCP,1
2025-03-06 10:00:48,Session Log,Allowed,usuario@pmg.local,87.44,REDE CONVIDADO,255,Default SNAT IPv4,Port13.85,Port11,192.168.16.151,10.255.130.210,11411,3389.0,UDP,0
2025-03-06 10:00:00,Allowed Access,Allowed,guest@pmg.local,28.93,ACESSO À REDE WI-FI,240,Redirecionamento SNAT,Port5.34,Port20,10.169.106.194,10.45.234.166,37360,34659.0,TCP,0
2025-03-06 10:00:35,Allowed Access,Allowed,scanner@iot.local,32.65,VPN CORPORATIVA,64,Custom SNAT,Port22.43,Port16,10.24.217.77,172.28.48.48,46170,3389.0,UDP,0
2025-03-06 10:01:39,Firewall Rule,Allowed,admin@pmg.local,238.82,ACESSO À REDE WI-FI,64,Redirecionamento SNAT,Port49.23,Port38,10.200.147.117,172.29.218.114,60513,25.0,UDP,0
2025-03-06 10:01:18,Firewall Rule,Allowed,admin@pmg.local,236.09,REDE EDUCACIONAL,73,Redirecionamento SNAT,Port24.18,Port25,10.6.230.17,192.168.90.98,19061,3306.0,UDP,1
2025-03-06 10:00:10,Allowed Access,Allowed,usuario@pmg.local,51.24,REDE CONVIDADO,244,Redirecionamento SNAT,Port46.3,Port16,192.168.43.97,10.193.181.181,43864,8080.0,ICMP,0
2025-03-06 10:01:03,Firewall Rule,Allowed,guest@pmg.local,62.99,TRÁFEGO INTERNO,124,Custom SNAT,Port30.91,Port26,172.23.229.24,192.168.90.98,63213,443.0,TCP,0
2025-03-06 10:01:18,Firewall Rule,Allowed,vazio@pmg.local,52.33,ACESSO À REDE WI-FI,144,Custom SNAT,Port47.42,Port1,192.168.166.41,10.25.53.240,44425,143.0,TCP,1
2025-03-06 10:01:19,Session Log,Allowed,vazio@pmg.local,206.28,VPN CORPORATIVA,111,Default SNAT IPv4,Port26.45,Port2,10.192.152.13,192.168.129.224,51253,443.0,TCP,1
2025-03-06 10:00:08,Firewall Rule,Allowed,usuario@pmg.local,189.53,VPN CORPORATIVA,258,SNAT Alternativo,Port13.19,Port13,10.203.113.185,10.24.69.236,5015,110.0,UDP,1
2025-03-06 10:01:27,Session Log,Allowed,admin@pmg.local,203.94,VPN CORPORATIVA,149,Redirecionamento SNAT,Port23.51,Port8,172.18.171.116,10.124.214.54,39842,8080.0,ICMP,1
2025-03-06 10:00:18,Allowed Access,Allowed,scanner@iot.local,178.37,ACESSO INTERNET REDE DE ACESSO,87,Redirecionamento SNAT,Port1.19,Port9,10.60.17.235,172.23.30.1,45345,8080.0,TCP,1
2025-03-06 10:00:39,Firewall Rule,Allowed,vazio@pmg.local,28.76,VPN CORPORATIVA,120,Default SNAT IPv4,Port35.25,Port16,10.56.210.229,10.162.106.230,43533,8080.0,ICMP,1
2025-03-06 10:01:09,Session Log,Allowed,scanner@iot.local,17.03,ACESSO À REDE WI-FI,55,Custom SNAT,Port35.15,Port36,172.26.122.9,172.17.103.84,47806,3306.0,UDP,1
2025-03-06 10:00:34,Session Log,Allowed,scanner@iot.local,92.82,TRÁFEGO INTERNO,119,Default SNAT IPv4,Port30.73,Port16,172.25.155.164,172.19.97.19,58419,3389.0,ICMP,0
2025-03-06 10:00:13,Allowed Access,Allowed,usuario@pmg.local,237.09,REDE EDUCACIONAL,154,SNAT Alternativo,Port32.22,Port43,192.168.43.207,172.23.115.189,49723,80.0,ICMP,0
2025-03-06 10:00:31,Session Log,Allowed,vazio@pmg.local,240.38,ACESSO À REDE WI-FI,108,Default SNAT IPv4,Port7.10,Port10,192.168.104.128,192.168.203.26,65265,25.0,TCP,1
2025-03-06 10:01:53,Firewall Rule,Accepted,scanner@iot.local,90.1,ACESSO INTERNET REDE DE ACESSO,263,SNAT Alternativo,Port37.66,Port13,172.17.226.69,192.168.90.98,13722,443.0,ICMP,1
2025-03-06 10:01:38,Session Log,Allowed,guest@pmg.local,60.13,REDE CONVIDADO,193,SNAT Alternativo,Port47.6,Port38,10.106.221.234,172.26.105.108,30956,3389.0,ICMP,1
2025-03-06 10:01:40,Firewall Rule,Allowed,scanner@iot.local,170.94,REDE CONVIDADO,235,Redirecionamento SNAT,Port31.34,Port17,10.51.67.153,10.156.236.35,40422,25.0,UDP,1
2025-03-06 10:01:30,Allowed Access,Allowed,scanner@iot.local,116.54,VPN CORPORATIVA,252,Redirecionamento SNAT,Port38.93,Port35,192.168.184.253,172.27.223.107,56266,80.0,TCP,1
2025-03-06 10:00:27,Firewall Rule,Allowed,scanner@iot.local,86.09,ACESSO INTERNET REDE DE ACESSO,225,Custom SNAT,Port26.12,Port47,172.19.127.88,10.18.231.64,45383,143.0,TCP,0
2025-03-06 10:00:45,Session Log,Allowed,admin@pmg.local,31.23,VPN CORPORATIVA,171,Redirecionamento SNAT,Port6.16,Port22,10.188.195.205,172.22.126.236,11435,3389.0,ICMP,1
2025-03-06 10:01:00,Allowed Access,Allowed,admin@pmg.local,242.12,REDE CONVIDADO,69,Custom SNAT,Port37.29,Port36,10.229.202.102,172.22.12.220,35657,3389.0,UDP,0
2025-03-06 10:00:31,Firewall Rule,Allowed,admin@pmg.local,234.54,REDE CONVIDADO,294,Custom SNAT,Port40.34,Port11,172.19.103.175,10.194.179.2,43652,110.0,UDP,0
2025-03-06 10:00:32,Allowed Access,Allowed,usuario@pmg.local,161.67,TRÁFEGO INTERNO,77,Custom SNAT,Port20.63,Port25,172.30.133.118,10.9.204.134,35787,110.0,UDP,1
2025-03-06 10:00:30,Session Log,Allowed,scanner@iot.local,121.76,REDE CONVIDADO,103,Default SNAT IPv4,Port21.3,Port31,172.23.223.185,172.25.105.85,9142,22.0,ICMP,1
2025-03-06 10:00:23,Allowed Access,Allowed,scanner@iot.local,139.87,REDE EDUCACIONAL,298,Custom SNAT,Port41.50,Port10,10.3.213.37,172.18.240.45,39234,15432.0,ICMP,0
2025-03-06 10:00:46,Session Log,Accepted,vazio@pmg.local,77.75,REDE EDUCACIONAL,157,SNAT Alternativo,Port1.13,Port10,172.28.111.126,10.12.175.192,26028,80.0,UDP,0
2025-03-06 10:01:48,Firewall Rule,Accepted,admin@pmg.local,225.21,ACESSO INTERNET REDE DE ACESSO,97,Redirecionamento SNAT,Port15.93,Port10,10.91.254.224,172.21.81.210,32692,8080.0,UDP,1
2025-03-06 10:01:11,Allowed Access,Allowed,scanner@iot.local,170.23,VPN CORPORATIVA,257,SNAT Alternativo,Port6.78,Port18,172.20.32.199,10.238.43.104,55982,8080.0,ICMP,0
2025-03-06 10:01:04,Allowed Access,Allowed,vazio@pmg.local,137.54,TRÁFEGO INTERNO,220,Redirecionamento SNAT,Port7.97,Port11,172.22.227.18,172.16.241.78,17179,80.0,UDP,1
2025-03-06 10:01:13,Firewall Rule,Allowed,usuario@pmg.local,75.94,ACESSO INTERNET REDE DE ACESSO,282,SNAT Alternativo,Port49.16,Port30,172.29.175.189,192.168.106.16,36379,110.0,ICMP,0
2025-03-06 10:00:00,Firewall Rule,Allowed,admin@pmg.local,161.57,TRÁFEGO INTERNO,170,Custom SNAT,Port20.18,Port5,10.106.208.110,192.168.212.190,6549,110.0,TCP,1
2025-03-06 10:00:18,Firewall Rule,Allowed,scanner@iot.local,149.36,ACESSO À REDE WI-FI,193,Custom SNAT,Port19.98,Port48,192.168.156.252,192.168.227.93,37255,3389.0,ICMP,0
2025-03-06 10:00:27,Session Log,Allowed,usuario@pmg.local,28.08,REDE EDUCACIONAL,62,Default SNAT IPv4,Port16.92,Port10,10.146.9.232,172.26.18.149,6860,143.0,UDP,1
2025-03-06 10:01:14,Allowed Access,Allowed,usuario@pmg.local,234.97,REDE EDUCACIONAL,229,Default SNAT IPv4,Port16.97,Port10,172.22.178.170,172.26.188.198,9849,8443.0,ICMP,0
2025-03-06 10:00:08,Session Log,Allowed,vazio@pmg.local,180.25,REDE CONVIDADO,147,Custom SNAT,Port5.61,Port49,10.252.20.115,192.168.225.214,9964,22.0,TCP,1
2025-03-06 10:01:33,Allowed Access,Allowed,scanner@iot.local,80.14,REDE CONVIDADO,194,SNAT Alternativo,Port8.36,Port3,172.17.5.102,172.19.25.107,62786,8080.0,ICMP,0
2025-03-06 10:00:05,Session Log,Allowed,scanner@iot.local,127.23,REDE EDUCACIONAL,62,Redirecionamento SNAT,Port14.64,Port9,192.168.251.197,10.132.38.220,26012,3389.0,ICMP,1
2025-03-06 10:01:14,Session Log,Allowed,guest@pmg.local,67.22,REDE EDUCACIONAL,135,Redirecionamento SNAT,Port4.34,Port50,10.130.212.23,10.201.78.252,26243,143.0,TCP,1
2025-03-06 10:01:27,Allowed Access,Allowed,usuario@pmg.local,176.91,ACESSO INTERNET REDE DE ACESSO,112,Default SNAT IPv4,Port26.29,Port18,10.52.179.179,10.209.142.103,58751,30924.0,TCP,1
2025-03-06 10:01:29,Firewall Rule,Allowed,admin@pmg.local,63.79,REDE EDUCACIONAL,231,Redirecionamento SNAT,Port19.39,Port27,10.146.21.120,192.168.203.33,7784,8443.0,ICMP,0
2025-03-06 10:01:14,Session Log,Allowed,admin@pmg.local,226.42,ACESSO À REDE WI-FI,115,Default SNAT IPv4,Port32.20,Port35,192.168.90.115,172.17.231.160,12324,8548.0,TCP,1
2025-03-06 10:01:00,Firewall Rule,Allowed,admin@pmg.local,78.18,ACESSO INTERNET REDE DE ACESSO,118,Custom SNAT,Port40.92,Port47,172.29.78.93,192.168.57.47,46074,8080.0,ICMP,0
2025-03-06 10:00:49,Firewall Rule,Allowed,admin@pmg.local,175.01,REDE EDUCACIONAL,234,Custom SNAT,Port42.79,Port1,10.55.199.121,10.229.217.201,36082,31864.0,UDP,0
2025-03-06 10:00:15,Firewall Rule,Allowed,admin@pmg.local,142.24,REDE CONVIDADO,265,SNAT Alternativo,Port20.21,Port32,10.9.33.116,172.26.113.46,44950,3389.0,ICMP,1
2025-03-06 10:01:30,Allowed Access,Allowed,usuario@pmg.local,227.21,TRÁFEGO INTERNO,224,Custom SNAT,Port38.94,Port33,10.16.16.51,10.84.227.64,56132,80.0,UDP,0
2025-03-06 10:00:23,Allowed Access,Allowed,admin@pmg.local,147.67,ACESSO À REDE WI-FI,293,Redirecionamento SNAT,Port1.16,Port23,10.6.138.173,172.23.217.191,29489,14135.0,ICMP,0
2025-03-06 10:01:45,Allowed Access,Allowed,scanner@iot.local,13.36,TRÁFEGO INTERNO,243,Default SNAT IPv4,Port21.78,Port45,10.185.70.253,172.19.241.73,31729,80.0,TCP,1
2025-03-06 10:01:49,Session Log,Allowed,guest@pmg.local,112.41,VPN CORPORATIVA,189,Custom SNAT,Port28.73,Port12,172.21.153.193,172.21.21.151,23933,9661.0,UDP,0
2025-03-06 10:01:33,Session Log,Allowed,scanner@iot.local,141.45,REDE EDUCACIONAL,259,Custom SNAT,Port29.46,Port21,192.168.189.67,10.193.181.181,51146,3306.0,TCP,1
2025-03-06 10:00:04,Firewall Rule,Allowed,usuario@pmg.local,59.45,REDE EDUCACIONAL,70,Custom SNAT,Port27.65,Port49,10.43.152.11,192.168.174.156,62480,143.0,UDP,1
2025-03-06 10:01:20,Session Log,Allowed,vazio@pmg.local,188.46,VPN CORPORATIVA,70,SNAT Alternativo,Port23.22,Port40,192.168.210.80,192.168.206.110,14712,8443.0,ICMP,1
2025-03-06 10:00:10,Session Log,Allowed,vazio@pmg.local,13.26,REDE CONVIDADO,130,Custom SNAT,Port4.42,Port6,172.20.152.76,172.16.155.109,63964,35579.0,TCP,0
2025-03-06 10:01:46,Firewall Rule,Allowed,guest@pmg.local,62.57,ACESSO À REDE WI-FI,199,Custom SNAT,Port35.17,Port7,172.17.26.61,172.19.234.17,51048,3306.0,ICMP,0
2025-03-06 10:00:09,Firewall Rule,Allowed,scanner@iot.local,22.59,TRÁFEGO INTERNO,297,SNAT Alternativo,Port16.7,Port42,10.244.233.252,172.16.238.39,7463,3306.0,ICMP,1
2025-03-06 10:00:50,Firewall Rule,Allowed,vazio@pmg.local,172.02,ACESSO INTERNET REDE DE ACESSO,210,Custom SNAT,Port2.84,Port45,10.52.248.12,10.166.206.95,8917,3389.0,TCP,0
2025-03-06 10:01:39,Allowed Access,Allowed,scanner@iot.local,107.27,ACESSO INTERNET REDE DE ACESSO,125,Default SNAT IPv4,Port8.60,Port28,192.168.48.33,172.28.48.48,9342,443.0,UDP,1
2025-03-06 10:00:59,Allowed Access,Allowed,guest@pmg.local,209.26,ACESSO INTERNET REDE DE ACESSO,184,Custom SNAT,Port46.37,Port20,10.95.3.251,192.168.152.36,38010,8080.0,TCP,1
2025-03-06 10:01:48,Session Log,Allowed,guest@pmg.local,68.89,ACESSO INTERNET REDE DE ACESSO,160,Redirecionamento SNAT,Port11.60,Port27,10.16.185.42,10.155.205.54,21027,8080.0,TCP,0
2025-03-06 10:01:15,Allowed Access,Allowed,scanner@iot.local,189.36,TRÁFEGO INTERNO,53,SNAT Alternativo,Port20.48,Port9,10.243.96.97,172.26.246.196,11018,110.0,ICMP,1
2025-03-06 10:01:57,Firewall Rule,Allowed,usuario@pmg.local,136.05,REDE EDUCACIONAL,288,Default SNAT IPv4,Port37.89,Port16,192.168.195.238,10.212.137.151,2112,143.0,ICMP,1
2025-03-06 10:00:31,Firewall Rule,Allowed,admin@pmg.local,170.72,REDE EDUCACIONAL,134,Redirecionamento SNAT,Port36.67,Port10,10.90.203.22,192.168.133.70,5086,17679.0,UDP,1
2025-03-06 10:00:24,Session Log,Allowed,vazio@pmg.local,81.54,ACESSO À REDE WI-FI,144,Default SNAT IPv4,Port36.46,Port34,172.27.167.213,192.168.172.146,15118,8080.0,ICMP,0
2025-03-06 10:00:40,Allowed Access,Allowed,admin@pmg.local,142.82,ACESSO INTERNET REDE DE ACESSO,167,Redirecionamento SNAT,Port17.55,Port47,172.27.162.49,10.42.166.169,17531,8080.0,ICMP,0
2025-03-06 10:01:28,Session Log,Allowed,scanner@iot.local,118.75,ACESSO INTERNET REDE DE ACESSO,107,Default SNAT IPv4,Port42.4,Port12,172.31.33.131,10.92.194.206,7866,3389.0,TCP,0
2025-03-06 10:01:20,Allowed Access,Allowed,admin@pmg.local,228.36,REDE EDUCACIONAL,221,Custom SNAT,Port38.80,Port4,10.87.133.249,10.152.128.101,56569,3306.0,UDP,1
2025-03-06 10:01:44,Firewall Rule,Allowed,vazio@pmg.local,124.07,ACESSO À REDE WI-FI,108,Default SNAT IPv4,Port47.56,Port37,10.57.138.219,192.168.106.219,65412,8443.0,UDP,1
2025-03-06 10:01:21,Allowed Access,Allowed,guest@pmg.local,32.37,ACESSO À REDE WI-FI,115,Custom SNAT,Port45.45,Port17,172.24.113.11,172.31.230.255,59317,8080.0,UDP,1
2025-03-06 10:01:09,Allowed Access,Allowed,guest@pmg.local,25.77,ACESSO INTERNET REDE DE ACESSO,175,SNAT Alternativo,Port24.40,Port35,172.22.94.250,172.25.164.131,43244,143.0,UDP,1
2025-03-06 10:00:11,Firewall Rule,Allowed,vazio@pmg.local,181.04,REDE EDUCACIONAL,267,Default SNAT IPv4,Port42.35,Port49,172.29.23.86,172.28.65.246,29514,8443.0,ICMP,1
2025-03-06 10:01:47,Session Log,Allowed,admin@pmg.local,40.21,ACESSO À REDE WI-FI,203,Default SNAT IPv4,Port9.62,Port28,192.168.207.75,10.117.143.161,16854,143.0,ICMP,1
2025-03-06 10:00:55,Session Log,Allowed,admin@pmg.local,211.17,REDE EDUCACIONAL,108,Default SNAT IPv4,Port23.97,Port14,172.24.113.11,172.29.73.48,2207,25.0,TCP,1
2025-03-06 10:00:48,Allowed Access,Allowed,admin@pmg.local,138.62,ACESSO À REDE WI-FI,103,SNAT Alternativo,Port2.81,Port18,172.31.34.161,172.25.83.59,38490,8443.0,TCP,0
2025-03-06 10:01:43,Session Log,Allowed,vazio@pmg.local,42.54,REDE EDUCACIONAL,196,SNAT Alternativo,Port5.67,Port30,192.168.126.57,192.168.23.25,41538,143.0,ICMP,0
2025-03-06 10:01:43,Allowed Access,Allowed,vazio@pmg.local,24.13,REDE CONVIDADO,231,Default SNAT IPv4,Port21.94,Port3,10.61.217.34,10.128.109.164,48540,3389.0,ICMP,0
2025-03-06 10:00:57,Firewall Rule,Allowed,admin@pmg.local,203.53,REDE EDUCACIONAL,122,Default SNAT IPv4,Port5.95,Port45,192.168.53.107,172.18.136.232,44345,3306.0,TCP,1
2025-03-06 10:00:19,Firewall Rule,Allowed,guest@pmg.local,67.7,ACESSO INTERNET REDE DE ACESSO,291,Custom SNAT,Port33.76,Port50,10.162.88.22,192.168.190.61,54360,3306.0,UDP,0
2025-03-06 10:00:08,Session Log,Allowed,guest@pmg.local,12.33,ACESSO À REDE WI-FI,112,Redirecionamento SNAT,Port26.18,Port5,10.129.92.219,10.251.247.110,18576,8080.0,UDP,1
2025-03-06 10:01:51,Firewall Rule,Allowed,scanner@iot.local,120.64,VPN CORPORATIVA,262,SNAT Alternativo,Port3.67,Port34,10.175.163.107,172.24.103.198,57913,25.0,ICMP,0
2025-03-06 10:01:28,Session Log,Allowed,usuario@pmg.local,104.25,TRÁFEGO INTERNO,94,SNAT Alternativo,Port36.89,Port19,172.27.88.94,10.236.134.171,55129,22.0,ICMP,0
