IP de Origem	Qtd_Conexoes	Diversidade_IP_Destino	Tempo_Total	Requisicoes_por_Segundo	IP de Origem Num	Blacklist	Classe_Real	Classe_Prevista	Comportamento
192.168.1.64	2	2	1	2.0	3232235840	0	1	1	0
10.10.10.32	5	5	1	5.0	168430112	0	1	1	0
10.10.10.42	7	5	1	7.0	168430122	0	1	1	0
10.10.10.21	2	2	1	2.0	168430101	0	1	1	0
192.168.1.86	4	3	1	4.0	3232235862	0	1	1	0
10.10.10.19	5	5	1	5.0	168430099	0	1	1	0
192.168.1.10	9	8	1	9.0	3232235786	0	1	1	0
10.10.10.23	5	5	1	5.0	168430103	0	1	1	0
192.168.1.44	5	5	1	5.0	3232235820	0	1	1	0
192.168.1.19	5	5	1	5.0	3232235795	0	1	1	0
10.10.10.24	5	5	1	5.0	168430104	0	1	1	0
185.220.101.1	2	1	1	2.0	3118228737	0	1	1	0
10.10.10.26	4	3	1	4.0	168430106	0	1	1	0
192.168.1.92	6	5	1	6.0	3232235868	0	1	1	0
192.168.1.73	7	7	1	7.0	3232235849	0	1	1	0
192.168.1.78	6	6	1	6.0	3232235854	0	1	1	0
192.168.1.29	4	4	1	4.0	3232235805	0	1	1	0
192.168.1.78	1	1	1	1.0	3232235854	0	0	1	0
10.10.10.27	7	6	1	7.0	168430107	0	1	1	0
192.168.1.83	3	3	1	3.0	3232235859	0	1	1	0
10.10.10.25	3	3	1	3.0	168430105	0	1	1	0
10.10.10.23	5	5	1	5.0	168430103	0	1	1	0
185.220.101.3	2	1	1	2.0	3118228739	0	1	1	0
10.10.10.18	11	9	1	11.0	168430098	0	1	1	2
192.168.1.91	8	6	1	8.0	3232235867	0	1	1	0
192.42.116.22	67	52	1	67.0	3224007702	0	1	1	2
192.168.1.75	3	3	1	3.0	3232235851	0	1	1	0
167.172.69.229	71	57	1	71.0	2813085157	0	1	1	2
192.168.1.74	6	5	1	6.0	3232235850	0	1	1	0
10.10.10.16	8	6	1	8.0	168430096	0	1	1	0
192.168.1.83	3	3	1	3.0	3232235859	0	1	1	0
192.168.1.16	3	3	1	3.0	3232235792	0	1	1	0
10.10.10.28	8	7	1	8.0	168430108	0	1	1	0
192.168.1.68	3	3	1	3.0	3232235844	0	1	1	0
10.10.10.12	2	2	1	2.0	168430092	0	1	1	0
192.168.1.83	3	3	1	3.0	3232235859	0	1	1	0
10.10.10.24	5	5	1	5.0	168430104	0	1	1	0
10.10.10.37	8	7	1	8.0	168430117	0	1	1	0
10.10.10.33	2	2	1	2.0	168430113	0	1	1	0
192.168.1.77	5	5	1	5.0	3232235853	0	1	1	0
192.168.1.76	5	4	1	5.0	3232235852	0	1	1	0
91.205.172.8	73	58	1	73.0	1540205576	0	1	1	2
192.168.1.61	5	5	1	5.0	3232235837	0	1	1	0
192.168.1.74	6	5	1	6.0	3232235850	0	1	1	0
10.10.10.29	7	6	1	7.0	168430109	0	1	1	0
10.10.10.10	6	5	1	6.0	168430090	0	1	1	0
192.168.1.54	18	6	1	18.0	3232235830	0	1	1	0
10.10.10.45	9	8	1	9.0	168430125	0	1	1	0
192.168.1.14	6	6	1	6.0	3232235790	0	1	1	0
192.168.1.17	2	2	1	2.0	3232235793	0	1	1	0
192.168.1.70	1	1	1	1.0	3232235846	0	1	1	0
192.168.1.24	3	3	1	3.0	3232235800	0	1	1	0
10.10.10.14	4	3	1	4.0	168430094	0	1	1	0
192.168.1.22	4	3	1	4.0	3232235798	0	1	1	0
192.168.1.67	1	1	1	1.0	3232235843	0	0	1	0
192.168.1.14	6	6	1	6.0	3232235790	0	1	1	0
192.168.1.60	5	5	1	5.0	3232235836	0	1	1	0
10.10.10.46	7	6	1	7.0	168430126	0	1	1	0
192.168.1.80	7	6	1	7.0	3232235856	0	1	1	0
192.168.1.12	3	2	1	3.0	3232235788	0	1	1	0
192.168.1.95	5	4	1	5.0	3232235871	0	1	1	0
192.168.1.74	6	5	1	6.0	3232235850	0	1	1	0
10.10.10.41	2	2	1	2.0	168430121	0	1	1	0
192.168.1.84	4	4	1	4.0	3232235860	0	1	1	0
10.10.10.41	2	2	1	2.0	168430121	0	1	1	0
192.168.1.55	4	4	1	4.0	3232235831	0	1	1	0
192.168.1.66	3	3	1	3.0	3232235842	0	1	1	0
10.10.10.21	2	2	1	2.0	168430101	0	1	1	0
192.168.1.64	2	2	1	2.0	3232235840	0	1	1	0
192.168.1.31	8	7	1	8.0	3232235807	0	1	1	0
192.168.1.12	3	2	1	3.0	3232235788	0	1	1	0
10.10.10.48	1	1	1	1.0	168430128	0	1	1	0
192.168.1.57	4	4	1	4.0	3232235833	0	1	1	0
192.168.1.51	7	6	1	7.0	3232235827	0	1	1	0
10.10.10.36	8	8	1	8.0	168430116	0	1	1	0
192.168.1.77	5	5	1	5.0	3232235853	0	1	1	0
10.10.10.42	7	5	1	7.0	168430122	0	1	1	0
192.168.1.43	4	4	1	4.0	3232235819	0	1	1	0
10.10.10.24	5	5	1	5.0	168430104	0	1	1	0
192.168.1.70	1	1	1	1.0	3232235846	0	1	1	0
10.10.10.30	5	4	1	5.0	168430110	0	1	1	0
10.10.10.13	5	4	1	5.0	168430093	0	1	1	0
192.168.1.85	5	4	1	5.0	3232235861	0	1	1	0
