IP de Origem;Qtd_Conexoes;Diversidade_IP_Destino;Tempo_Total_das_requisicoes;Requisicoes_por_Segundo;Qtd_Portas_Solicitadas;IP de Origem Num;Blacklist;Classe_Real;Classe_Prevista;Comportamento
172.22.46.254;1;1;0;0.0;1;2887134974;0;0;0;0
192.168.1.11;1;1;0;0.0;1;3232235787;0;1;1;0
192.168.1.19;5;5;4043;0.0012367054167697256;4;3232235795;0;1;1;0
10.10.10.32;5;5;5345;0.0009354536950420954;3;168430112;0;1;1;0
172.19.127.253;8;2;1;8.0;2;2886959101;0;0;0;0
172.22.45.54;3;3;1;3.0;3;2887134518;0;0;0;0
172.22.20.71;5;5;4;1.25;2;2887128135;0;0;0;0
192.168.1.96;6;4;4180;0.0014354066985645933;3;3232235872;0;1;1;0
172.204.130.3;6;4;4;1.5;2;2899083779;0;0;0;0
192.168.1.53;5;4;3711;0.0013473457289140394;5;3232235829;0;1;1;0
172.22.20.42;4;3;3;1.3333333333333333;2;2887128106;0;0;0;0
167.172.69.229;71;57;6224;0.01140745501285347;68;2813085157;0;1;1;2
192.168.1.48;4;3;4192;0.0009541984732824427;4;3232235824;0;1;1;0
192.168.1.43;4;4;2556;0.001564945226917058;3;3232235819;0;1;1;0
172.22.79.252;1;1;0;0.0;1;2887143420;0;0;0;0
172.22.43.248;1;1;0;0.0;1;2887134200;0;0;0;0
192.168.1.51;7;6;5170;0.0013539651837524177;4;3232235827;0;1;1;0
10.10.10.30;5;4;4007;0.0012478163214374844;5;168430110;0;1;1;0
172.22.50.71;1;1;0;0.0;1;2887135815;0;0;0;0
172.22.47.40;2;2;3;0.6666666666666666;2;2887135016;0;0;0;0
10.10.10.17;2;2;317;0.006309148264984227;2;168430097;0;1;1;0
172.22.40.52;3;1;4;0.75;1;2887133236;0;0;0;0
192.168.1.90;6;5;3328;0.0018028846153846155;3;3232235866;0;1;1;0
172.22.22.55;8;4;4;2.0;3;2887128631;0;0;0;0
172.22.82.177;2;2;2;1.0;2;2887144113;0;0;0;0
192.168.1.69;7;4;4734;0.001478664976763836;5;3232235845;0;1;1;0
172.22.59.252;1;1;0;0.0;1;2887138300;0;0;0;0
172.22.50.97;1;1;0;0.0;1;2887135841;0;0;0;0
10.10.10.42;7;5;5666;0.0012354394634662902;5;168430122;0;1;1;0
10.10.10.29;7;6;6170;0.00113452188006483;3;168430109;0;1;1;0
192.168.1.73;7;7;5061;0.0013831258644536654;4;3232235849;0;1;1;0
172.22.87.245;1;1;0;0.0;1;2887145461;0;0;0;0
172.22.44.241;2;1;0;0.0;1;2887134449;0;0;0;0
172.204.137.177;3;1;6;0.5;1;2899085745;0;0;0;0
192.168.1.70;1;1;0;0.0;1;3232235846;0;1;1;0
192.168.1.99;4;4;1803;0.0022185246810870773;2;3232235875;0;1;1;0
172.22.46.223;1;1;0;0.0;1;2887134943;0;0;0;0
172.204.129.106;2;2;0;0.0;1;2899083626;0;0;0;0
192.168.1.44;5;5;5601;0.0008926977325477593;2;3232235820;0;1;1;0
91.205.172.8;73;58;5916;0.012339418526031102;71;1540205576;0;1;1;2
172.22.60.237;1;1;0;0.0;1;2887138541;0;0;0;0
192.168.1.33;3;3;4320;0.0006944444444444445;1;3232235809;0;1;1;0
192.168.1.31;8;7;3935;0.0020330368487928843;4;3232235807;0;1;1;0
172.22.54.252;7;5;44;0.1590909090909091;3;2887137020;0;0;0;0
172.204.142.92;3;3;7;0.42857142857142855;1;2899086940;0;0;0;0
172.22.20.58;4;3;42;0.09523809523809523;2;2887128122;0;0;0;0
172.22.74.246;14;4;7;2.0;2;2887142134;0;0;0;0
192.168.1.57;4;4;5396;0.0007412898443291327;3;3232235833;0;1;1;0
192.168.1.81;2;2;2543;0.0007864726700747149;2;3232235857;0;1;1;0
10.10.10.13;5;4;5119;0.0009767532721234617;3;168430093;0;1;1;0
172.22.43.75;1;1;0;0.0;1;2887134027;0;0;0;0
172.22.45.127;3;2;2;1.5;2;2887134591;0;0;0;0
172.217.28.74;1;1;0;0.0;1;2899909706;0;0;0;0
172.22.72.252;1;1;0;0.0;1;2887141628;0;0;0;0
10.10.10.24;5;5;4875;0.0010256410256410256;4;168430104;0;1;1;0
192.168.1.15;2;2;229;0.008733624454148471;2;3232235791;0;1;1;0
10.10.10.42;7;5;5666;0.0012354394634662902;5;168430122;0;1;1;0
172.22.23.249;70;17;110;0.6363636363636364;1;2887129081;0;0;0;0
172.22.57.222;6;3;3;2.0;2;2887137758;0;0;0;0
192.168.1.45;11;10;5462;0.0020139143170999634;4;3232235821;0;1;1;0
172.204.135.163;2;2;0;0.0;1;2899085219;0;0;0;0
172.22.97.11;1;1;0;0.0;1;2887147787;0;0;0;0
192.168.1.89;1;1;0;0.0;1;3232235865;0;0;1;0
172.22.44.53;1;1;0;0.0;1;2887134261;0;0;0;0
10.10.10.37;8;7;5712;0.0014005602240896359;4;168430117;0;1;1;0
172.22.12.99;3;3;1;3.0;3;2887126115;0;0;0;0
172.22.87.31;4;2;5;0.8;1;2887145247;0;0;0;0
177.73.104.211;1;1;0;0.0;1;2974378195;0;0;0;0
192.168.1.79;5;4;3539;0.0014128284826222096;4;3232235855;0;1;1;0
172.204.130.53;2;1;1;2.0;1;2899083829;0;0;0;0
10.10.10.43;6;4;4220;0.0014218009478672985;4;168430123;0;1;1;0
192.168.1.70;1;1;0;0.0;1;3232235846;0;1;1;0
172.22.51.42;1;1;0;0.0;1;2887136042;0;0;0;0
10.10.10.41;2;2;1774;0.0011273957158962795;1;168430121;0;1;1;0
10.10.10.42;7;5;5666;0.0012354394634662902;5;168430122;0;1;1;0
10.10.10.42;7;5;5666;0.0012354394634662902;5;168430122;0;1;1;0
10.10.10.17;2;2;317;0.006309148264984227;2;168430097;0;1;1;0
192.168.1.55;4;4;3234;0.0012368583797155227;3;3232235831;0;1;1;0
172.22.12.250;2;2;6;0.3333333333333333;1;2887126266;0;0;0;0
192.168.1.88;6;6;2266;0.00264783759929391;2;3232235864;0;1;1;0
172.22.52.253;2;2;1;2.0;1;2887136509;0;0;0;0
192.168.1.44;1;1;0;0.0;1;3232235820;0;0;1;0
172.204.129.20;1;1;0;0.0;1;2899083540;0;0;0;0
172.22.39.12;1;1;0;0.0;1;2887132940;0;0;0;0
172.204.124.52;1;1;0;0.0;1;2899082292;0;0;0;0
172.204.138.20;29;24;7;4.142857142857143;3;2899085844;0;0;0;0
192.168.1.67;1;1;0;0.0;1;3232235843;0;0;1;0
172.22.87.211;2;2;5;0.4;1;2887145427;0;0;0;0
192.168.1.23;1;1;0;0.0;1;3232235799;0;1;1;0
10.10.10.43;6;4;4220;0.0014218009478672985;4;168430123;0;1;1;0
172.204.123.215;2;2;4;0.5;1;2899082199;0;0;0;0
172.204.124.227;9;3;44;0.20454545454545456;1;2899082467;0;0;0;0
192.168.1.65;4;4;1546;0.00258732212160414;2;3232235841;0;1;1;0
10.10.10.37;8;7;5712;0.0014005602240896359;4;168430117;0;1;1;0
10.10.10.32;5;5;5345;0.0009354536950420954;3;168430112;0;1;1;0
172.22.20.77;2;2;40;0.05;2;2887128141;0;0;0;0
172.204.128.65;10;1;4;2.5;1;2899083329;0;0;0;0
172.204.128.157;2;1;5;0.4;1;2899083421;0;0;0;0
192.168.1.87;3;3;2807;0.0010687566797292483;2;3232235863;0;1;1;0
172.22.68.251;4;4;45;0.08888888888888889;3;2887140603;0;0;0;0
192.168.1.69;1;1;0;0.0;1;3232235845;0;0;1;0
192.168.1.69;7;4;4734;0.001478664976763836;5;3232235845;0;1;1;0
172.19.124.67;4;3;1;4.0;1;2886958147;0;0;0;0
172.22.20.46;3;2;0;0.0;2;2887128110;0;0;0;0
172.22.46.219;3;3;4;0.75;3;2887134939;0;0;0;0
192.168.1.14;6;6;4004;0.0014985014985014985;3;3232235790;0;1;1;0
10.10.10.46;7;6;5605;0.0012488849241748439;2;168430126;0;1;1;0
192.168.1.51;7;6;5170;0.0013539651837524177;4;3232235827;0;1;1;0
172.22.52.247;2;1;1;2.0;1;2887136503;0;0;0;0
185.220.101.3;2;1;0;0.0;1;3118228739;0;1;1;0
172.22.41.70;35;21;4;8.75;1;2887133510;0;0;0;0
172.22.44.175;8;7;3;2.6666666666666665;2;2887134383;0;0;0;0
192.168.1.92;6;5;6115;0.0009811937857726902;4;3232235868;0;1;1;0
10.10.10.48;1;1;0;0.0;1;168430128;0;1;1;0
192.168.1.36;3;2;2014;0.0014895729890764648;3;3232235812;0;1;1;0
172.22.88.232;3;2;2;1.5;2;2887145704;0;0;0;0
172.22.40.175;13;2;2;6.5;2;2887133359;0;0;0;0
172.22.12.22;1;1;0;0.0;1;2887126038;0;0;0;0
172.22.46.160;1;1;0;0.0;1;2887134880;0;0;0;0
172.204.119.192;1;1;0;0.0;1;2899081152;0;0;0;0
172.22.87.240;1;1;0;0.0;1;2887145456;0;0;0;0
192.168.1.96;6;4;4180;0.0014354066985645933;3;3232235872;0;1;1;0
172.22.46.51;1;1;0;0.0;1;2887134771;0;0;0;0
192.168.1.14;6;6;4004;0.0014985014985014985;3;3232235790;0;1;1;0
172.22.20.104;7;6;5;1.4;3;2887128168;0;0;0;0
192.168.1.30;7;7;6028;0.001161247511612475;3;3232235806;0;1;1;0
10.10.10.43;6;4;4220;0.0014218009478672985;4;168430123;0;1;1;0
192.168.1.46;7;7;4530;0.0015452538631346578;5;3232235822;0;1;1;0
192.168.1.95;5;4;2432;0.002055921052631579;4;3232235871;0;1;1;0
172.22.43.167;2;2;0;0.0;1;2887134119;0;0;0;0
172.22.76.31;3;2;3;1.0;1;2887142431;0;0;0;0
172.22.46.107;2;2;0;0.0;1;2887134827;0;0;0;0
172.22.12.220;2;2;5;0.4;1;2887126236;0;0;0;0
192.168.1.50;2;2;1160;0.0017241379310344827;1;3232235826;0;1;1;0
192.168.1.43;4;4;2556;0.001564945226917058;3;3232235819;0;1;1;0
172.22.42.65;3;3;1;3.0;2;2887133761;0;0;0;0
192.168.1.30;7;7;6028;0.001161247511612475;3;3232235806;0;1;1;0
172.22.20.54;1;1;0;0.0;1;2887128118;0;0;0;0
172.19.124.90;2;1;0;0.0;1;2886958170;0;0;0;0
172.22.43.90;5;2;6;0.8333333333333334;2;2887134042;0;0;0;0
172.22.45.226;1;1;0;0.0;1;2887134690;0;0;0;0
172.22.12.25;1;1;0;0.0;1;2887126041;0;0;0;0
172.22.63.40;9;8;46;0.1956521739130435;3;2887139112;0;0;0;0
172.22.52.254;6;4;43;0.13953488372093023;3;2887136510;0;0;0;0
192.168.1.31;8;7;3935;0.0020330368487928843;4;3232235807;0;1;1;0
172.204.125.247;2;1;4;0.5;1;2899082743;0;0;0;0
10.10.10.11;1;1;0;0.0;1;168430091;0;1;1;0
172.22.46.248;1;1;0;0.0;1;2887134968;0;0;0;0
172.204.129.18;2;2;4;0.5;1;2899083538;0;0;0;0
10.10.10.12;2;2;3042;0.0006574621959237344;1;168430092;0;1;1;0
172.22.94.42;1;1;0;0.0;1;2887147050;0;0;0;0
192.168.1.51;7;6;5170;0.0013539651837524177;4;3232235827;0;1;1;0
192.168.1.75;3;3;3495;0.0008583690987124463;3;3232235851;0;1;1;0
172.22.12.46;4;3;6;0.6666666666666666;4;2887126062;0;0;0;0
172.22.20.88;5;5;45;0.1111111111111111;1;2887128152;0;0;0;0
172.22.58.251;6;6;43;0.13953488372093023;2;2887138043;0;0;0;0
192.168.1.67;7;6;5843;0.001198014718466541;2;3232235843;0;1;1;0
172.22.59.49;5;5;3;1.6666666666666667;2;2887138097;0;0;0;0
172.22.46.238;4;4;3;1.3333333333333333;1;2887134958;0;0;0;0
10.10.10.14;4;3;4143;0.0009654839488293508;4;168430094;0;1;1;0
172.22.56.247;2;2;6;0.3333333333333333;2;2887137527;0;0;0;0
192.168.1.36;3;2;2014;0.0014895729890764648;3;3232235812;0;1;1;0
172.204.123.126;3;2;1;3.0;2;2899082110;0;0;0;0
172.22.42.254;13;3;5;2.6;4;2887133950;0;0;0;0
192.168.255.111;8;8;4;2.0;1;3232300911;0;0;0;0
192.168.1.92;6;5;6115;0.0009811937857726902;4;3232235868;0;1;1;0
172.22.41.240;1;1;0;0.0;1;2887133680;0;0;0;0
177.73.107.156;1;1;0;0.0;1;2974378908;0;0;0;0
172.22.87.210;2;2;1;2.0;1;2887145426;0;0;0;0
172.204.123.182;5;2;4;1.25;1;2899082166;0;0;0;0
192.168.1.85;5;4;3047;0.0016409583196586807;4;3232235861;0;1;1;0
172.22.90.48;1;1;0;0.0;1;2887146032;0;0;0;0
192.168.1.30;7;7;6028;0.001161247511612475;3;3232235806;0;1;1;0
