IP de Origem;Qtd_Conexoes;Tempo_Segundos;Diversidade_IP_Destino;Requisicoes_por_Segundo;Qtd_Portas_Solicitadas;IP de Origem Num;Blacklist
168884584;4;12647;3;0.00031628054083972484;4;168884584;0
168895099;3;37108;2;8.084510078689232e-05;3;168895099;0
168941106;3;36492;3;8.220979940808945e-05;3;168941106;0
168968021;2;10120;2;0.0001976284584980237;2;168968021;0
168992277;1;0;1;0.0;1;168992277;0
168995026;4;20164;2;0.00019837333862328903;4;168995026;0
169021473;2;1227;2;0.0016299918500407497;2;169021473;0
169027993;5;36800;3;0.0001358695652173913;5;169027993;0
169031364;3;1670;2;0.0017964071856287425;3;169031364;0
169037008;4;25029;2;0.000159814615046546;4;169037008;0
169037745;4;19259;4;0.00020769510358793292;4;169037745;0
169040473;5;7503;3;0.0006664001066240171;5;169040473;0
169049267;2;5384;2;0.0003714710252600297;2;169049267;0
169051443;4;27235;4;0.00014686983660730678;4;169051443;0
169069179;7;37547;5;0.00018643300396835967;7;169069179;0
169069563;3;23027;2;0.0001302818430538064;3;169069563;0
169096021;3;16631;2;0.00018038602609584512;3;169096021;0
169110839;1;0;1;0.0;1;169110839;0
169144569;1;0;1;0.0;1;169144569;0
169147964;4;29173;4;0.00013711308401604224;4;169147964;0
169163016;4;28198;3;0.0001418540322008653;4;169163016;0
169173480;2;5745;2;0.00034812880765883376;2;169173480;0
169195616;4;28259;4;0.0001415478254715312;4;169195616;0
169197454;2;6638;2;0.00030129557095510696;2;169197454;0
169199261;5;30250;4;0.00016528925619834712;5;169199261;0
169247461;5;11452;3;0.0004366049598323437;5;169247461;0
169250953;1;0;1;0.0;1;169250953;0
169254273;4;18651;4;0.00021446571229424697;4;169254273;0
169260882;4;37023;3;0.00010804094751910974;4;169260882;0
169286604;6;31017;1;0.00019344230583228552;6;169286604;0
169324155;4;22712;3;0.00017611835153222966;4;169324155;0
169340005;2;34073;2;5.8697502421271976e-05;2;169340005;0
169340294;3;34337;3;8.736931007368145e-05;3;169340294;0
169368035;2;9291;2;0.00021526208158432892;2;169368035;0
169382182;2;23731;2;8.427794867472926e-05;2;169382182;0
169383157;3;14564;2;0.00020598736610821203;3;169383157;0
169431216;1;0;1;0.0;1;169431216;0
169454367;5;40809;3;0.00012252199269768924;5;169454367;0
169477064;3;13587;3;0.00022079929344226098;3;169477064;0
169566594;2;32988;2;6.062810719049351e-05;2;169566594;0
169584867;3;18735;3;0.0001601281024819856;3;169584867;0
169588914;3;3724;3;0.0008055853920515575;3;169588914;0
169598120;1;0;1;0.0;1;169598120;0
169603992;1;0;1;0.0;1;169603992;0
169604148;3;24024;3;0.00012487512487512488;3;169604148;0
169660333;4;20652;4;0.0001936858415649816;4;169660333;0
169687219;4;22721;2;0.00017604858941067735;4;169687219;0
169763112;5;20814;5;0.00024022292687614106;5;169763112;0
169768597;2;19816;2;0.00010092854259184497;2;169768597;0
169777225;3;2793;2;0.0010741138560687433;3;169777225;0
169799651;4;20642;1;0.00019377967251235347;4;169799651;0
169799695;2;18320;2;0.0001091703056768559;2;169799695;0
169800387;1;0;1;0.0;1;169800387;0
169806052;6;25642;3;0.00023399110833788317;6;169806052;0
169807286;3;16060;3;0.00018679950186799502;3;169807286;0
169831558;1;0;1;0.0;1;169831558;0
169864701;2;14582;1;0.0001371553970648745;2;169864701;0
169886191;4;21370;1;0.00018717828731867103;4;169886191;0
169888086;2;34058;2;5.872335427799636e-05;2;169888086;0
169941805;1;0;1;0.0;1;169941805;0
170034345;3;8972;3;0.00033437360677663843;3;170034345;0
170039219;4;12174;3;0.0003285690816494168;4;170039219;0
170041160;4;31973;2;0.00012510555781440592;4;170041160;0
170069732;4;22880;4;0.00017482517482517483;4;170069732;0
170109098;4;11442;2;0.0003495892326516343;4;170109098;0
170141824;2;2414;2;0.0008285004142502071;2;170141824;0
170147915;1;0;1;0.0;1;170147915;0
170149647;3;14958;3;0.00020056157240272763;3;170149647;0
170152580;1;0;1;0.0;1;170152580;0
170155082;4;35011;2;0.00011424980720345035;4;170155082;0
170157101;1;0;1;0.0;1;170157101;0
170187050;2;2629;1;0.0007607455306200076;2;170187050;0
170193657;3;16763;2;0.0001789655789536479;3;170193657;0
170308447;3;26042;2;0.00011519852545887413;3;170308447;0
170308675;1;0;1;0.0;1;170308675;0
170322871;2;23890;2;8.371703641691084e-05;2;170322871;0
170322936;4;21390;4;0.00018700327255726976;4;170322936;0
170327969;5;37614;5;0.00013292922847875791;5;170327969;0
170332391;2;17855;2;0.00011201344161299356;2;170332391;0
170341245;3;11830;2;0.00025359256128486897;3;170341245;0
170359407;5;31527;4;0.0001585942208265931;5;170359407;0
170362050;3;15204;3;0.0001973164956590371;3;170362050;0
170363811;3;12516;2;0.00023969319271332693;3;170363811;0
170441552;6;37505;6;0.0001599786695107319;6;170441552;0
170463203;5;37437;3;0.00013355771028661484;5;170463203;0
170472161;5;34525;2;0.0001448225923244026;5;170472161;0
170475614;3;25086;2;0.00011958861516383641;3;170475614;0
170480998;8;33168;5;0.000241196333815726;8;170480998;0
170526605;1;0;1;0.0;1;170526605;0
170546975;5;35952;5;0.00013907432131731197;5;170546975;0
170547624;6;40431;3;0.00014840097944646434;6;170547624;0
170557907;3;32582;3;9.207537904364372e-05;3;170557907;0
170588869;3;27178;2;0.00011038339833689013;3;170588869;0
170630005;3;27786;1;0.00010796804145972792;3;170630005;0
170639790;3;29084;3;0.00010314949800577637;3;170639790;0
170646493;2;26109;2;7.660193802903213e-05;2;170646493;0
170650260;3;39052;2;7.682064939055618e-05;3;170650260;0
170667529;4;40723;4;9.822459052623825e-05;4;170667529;0
170672114;2;1993;2;0.0010035122930255895;2;170672114;0
170679378;3;36080;1;8.314855875831486e-05;3;170679378;0
170711656;1;0;1;0.0;1;170711656;0
170739599;2;6314;2;0.0003167564143173899;2;170739599;0
170748422;1;0;1;0.0;1;170748422;0
170758729;4;26111;3;0.00015319214124315424;4;170758729;0
170771571;5;33599;4;0.00014881395279621419;5;170771571;0
170772696;2;4397;1;0.00045485558335228563;2;170772696;0
170781707;6;24959;5;0.00024039424656436555;6;170781707;0
170781896;1;0;1;0.0;1;170781896;0
170794108;7;38716;5;0.00018080380204566588;7;170794108;0
170796189;4;30085;2;0.0001329566229017783;4;170796189;0
170796346;4;28427;4;0.00014071129559925424;4;170796346;0
170804297;3;10988;2;0.0002730251183108846;3;170804297;0
170816288;3;21034;2;0.00014262622420842445;3;170816288;0
170817773;6;27259;4;0.0002201107890971789;6;170817773;0
170826899;3;22873;1;0.0001311590084378962;3;170826899;0
170848312;4;14470;4;0.00027643400138217003;4;170848312;0
170882626;1;0;1;0.0;1;170882626;0
170913027;1;0;1;0.0;1;170913027;0
170941439;4;34287;4;0.00011666229183072301;4;170941439;0
170941736;2;4111;2;0.00048649963512527365;2;170941736;0
170994450;2;9113;2;0.0002194666959288928;2;170994450;0
170999642;6;31048;5;0.00019324916258696212;6;170999642;0
171004354;4;35855;3;0.00011156045181982986;4;171004354;0
171014825;3;36911;2;8.127658421608734e-05;3;171014825;0
171026734;4;21728;4;0.0001840942562592047;4;171026734;0
171029051;2;23813;2;8.398773779028262e-05;2;171029051;0
171069793;4;17606;2;0.00022719527433829378;4;171069793;0
171088466;2;6408;2;0.00031210986267166043;2;171088466;0
171129627;1;0;1;0.0;1;171129627;0
171156411;2;17904;2;0.00011170688114387846;2;171156411;0
171159199;3;5566;2;0.0005389867049946101;3;171159199;0
171187570;8;12136;4;0.0006591957811470006;8;171187570;0
171201554;3;32634;3;9.192866335723479e-05;3;171201554;0
171227623;5;42147;4;0.00011863240562792132;5;171227623;0
171242934;4;34268;3;0.0001167269756040621;4;171242934;0
171248996;3;20060;2;0.00014955134596211366;3;171248996;0
171250115;7;39350;5;0.00017789072426937738;7;171250115;0
171252778;5;24141;3;0.00020711652375626527;5;171252778;0
171262727;3;16268;3;0.0001844111138431276;3;171262727;0
171301242;1;0;1;0.0;1;171301242;0
171303187;3;13806;3;0.000217296827466319;3;171303187;0
171311312;3;22330;3;0.00013434841021047917;3;171311312;0
171359376;7;37832;6;0.0001850285472615775;7;171359376;0
171389926;6;28898;5;0.00020762682538583984;6;171389926;0
171393744;5;29302;4;0.0001706368165995495;5;171393744;0
171402180;4;28374;2;0.0001409741312469162;4;171402180;0
171408378;6;40498;6;0.0001481554644673811;6;171408378;0
171429975;5;29509;4;0.00016943983191568674;5;171429975;0
171447160;5;29506;5;0.00016945705958110215;5;171447160;0
171449589;4;12308;4;0.00032499187520311994;4;171449589;0
171491700;1;0;1;0.0;1;171491700;0
171504315;3;35167;2;8.530724827252822e-05;3;171504315;0
171566372;1;0;1;0.0;1;171566372;0
171589472;3;5502;3;0.0005452562704471102;3;171589472;0
171591620;3;8162;2;0.00036755697133055625;3;171591620;0
171604817;5;22713;5;0.00022013824681900234;5;171604817;0
171611628;5;27974;2;0.00017873739901336957;5;171611628;0
171621661;3;6501;3;0.00046146746654360867;3;171621661;0
171646835;3;18421;3;0.00016285760816459475;3;171646835;0
171648606;5;26542;2;0.00018838067967749228;5;171648606;0
171714833;5;17066;2;0.0002929801945388492;5;171714833;0
171728996;5;18850;5;0.0002652519893899204;5;171728996;0
171759442;2;4082;2;0.0004899559039686428;2;171759442;0
171767564;1;0;1;0.0;1;171767564;0
171774586;5;27800;5;0.00017985611510791367;5;171774586;0
171775638;3;13756;3;0.00021808665309683048;3;171775638;0
171787174;2;25694;2;7.78391842453491e-05;2;171787174;0
171790231;1;0;1;0.0;1;171790231;0
171794448;1;0;1;0.0;1;171794448;0
171854057;3;27668;3;0.00010842850946942316;3;171854057;0
171862060;3;16713;3;0.0001795009872554299;3;171862060;0
171878382;5;40540;3;0.000123334977799704;5;171878382;0
171889329;5;26197;4;0.00019086154903233196;5;171889329;0
171891250;3;28767;3;0.00010428616122640526;3;171891250;0
171897911;1;0;1;0.0;1;171897911;0
171916473;2;21488;1;9.307520476545048e-05;2;171916473;0
171922411;3;17443;1;0.00017198876340079116;3;171922411;0
171922999;3;30662;1;9.784097580066531e-05;3;171922999;0
171923397;6;22182;6;0.0002704895861509332;6;171923397;0
171935704;7;31250;4;0.000224;7;171935704;0
171947729;4;32656;4;0.0001224889759921607;4;171947729;0
171967734;1;0;1;0.0;1;171967734;0
171985369;5;31542;4;0.0001585188003297191;5;171985369;0
171985637;5;31396;2;0.00015925595617276086;5;171985637;0
171993844;2;4693;2;0.0004261666311527807;2;171993844;0
172076689;4;13844;3;0.0002889338341519792;4;172076689;0
172081141;5;36180;5;0.00013819789939192924;5;172081141;0
172108295;3;11571;3;0.00025926886180969663;3;172108295;0
172113191;4;33413;4;0.00011971388381767575;4;172113191;0
172113822;1;0;1;0.0;1;172113822;0
172125983;4;7782;3;0.0005140066820868671;4;172125983;0
172213718;5;22230;5;0.0002249212775528565;5;172213718;0
172246567;2;25935;2;7.71158665895508e-05;2;172246567;0
172267990;5;25389;1;0.00019693568080664855;5;172267990;0
172269790;1;0;1;0.0;1;172269790;0
172295272;2;10323;2;0.00019374212922600018;2;172295272;0
172326807;1;0;1;0.0;1;172326807;0
172340779;5;35734;3;0.00013992276263502548;5;172340779;0
172357656;2;10858;2;0.0001841959845275373;2;172357656;0
172363561;6;36651;4;0.00016370631087828436;6;172363561;0
172422978;3;10646;3;0.00028179597971068947;3;172422978;0
172423751;6;33822;5;0.00017739932588256165;6;172423751;0
172462079;4;20801;1;0.00019229844719003894;4;172462079;0
172476008;3;31270;3;9.593859929645028e-05;3;172476008;0
172481127;4;24168;2;0.00016550810989738498;4;172481127;0
172514489;2;10910;2;0.00018331805682859762;2;172514489;0
172518303;2;7274;1;0.00027495188342040145;2;172518303;0
172527763;1;0;1;0.0;1;172527763;0
172542715;3;5906;3;0.0005079580088046055;3;172542715;0
172592646;2;7107;2;0.0002814126917123962;2;172592646;0
172600659;1;0;1;0.0;1;172600659;0
172625943;3;29091;3;0.00010312467773538208;3;172625943;0
172639996;1;0;1;0.0;1;172639996;0
172717798;2;23265;2;8.596604341285192e-05;2;172717798;0
172729641;1;0;1;0.0;1;172729641;0
172734298;5;36847;3;0.00013569625749721822;5;172734298;0
172738581;4;14521;2;0.0002754631223744921;4;172738581;0
172743662;1;0;1;0.0;1;172743662;0
172766258;3;17288;2;0.00017353077279037482;3;172766258;0
172804647;7;25838;5;0.0002709188017648425;7;172804647;0
172807689;7;13901;3;0.0005035608948996476;7;172807689;0
172810255;3;34203;3;8.771160424524164e-05;3;172810255;0
172817148;4;24204;2;0.00016526194017517766;4;172817148;0
172839779;2;8756;1;0.00022841480127912289;2;172839779;0
172852992;1;0;1;0.0;1;172852992;0
172856426;2;19796;2;0.00010103051121438674;2;172856426;0
172857849;3;37158;1;8.073631519457452e-05;3;172857849;0
172862755;3;27560;3;0.0001088534107402032;3;172862755;0
172890911;3;34829;3;8.613511728731804e-05;3;172890911;0
172893525;4;18961;4;0.00021095933758767996;4;172893525;0
172896736;1;0;1;0.0;1;172896736;0
172923046;1;0;1;0.0;1;172923046;0
172946911;3;8374;3;0.00035825173155003585;3;172946911;0
172958424;7;26588;6;0.0002632766661651873;7;172958424;0
173008080;4;17374;3;0.0002302290779325429;4;173008080;0
173008488;4;31839;4;0.00012563208643487546;4;173008488;0
173012002;5;34321;5;0.00014568340083330906;5;173012002;0
173058597;1;0;1;0.0;1;173058597;0
173083199;4;14124;3;0.0002832058906825262;4;173083199;0
173109718;1;0;1;0.0;1;173109718;0
173139064;5;40098;4;0.0001246944984787271;5;173139064;0
173177295;3;31510;2;9.520787051729609e-05;3;173177295;0
173192155;8;29064;4;0.0002752546105147261;8;173192155;0
173208814;7;22065;6;0.00031724450487196916;7;173208814;0
173223578;4;31101;2;0.00012861322787048647;4;173223578;0
173228664;3;21821;3;0.0001374822418770909;3;173228664;0
173258828;2;7150;1;0.0002797202797202797;2;173258828;0
173274312;2;26133;2;7.653158841311751e-05;2;173274312;0
173348958;5;26537;2;0.00018841617364434563;5;173348958;0
173383543;3;7246;2;0.0004140215291195142;3;173383543;0
173386067;1;0;1;0.0;1;173386067;0
173393248;1;0;1;0.0;1;173393248;0
173414451;4;39878;4;0.00010030593309594263;4;173414451;0
173419184;2;747;1;0.002677376171352075;2;173419184;0
173462535;2;34294;2;5.83192395171167e-05;2;173462535;0
173471609;6;36079;5;0.0001663017267662629;6;173471609;0
173472948;2;25001;1;7.999680012799488e-05;2;173472948;0
173507062;4;23574;2;0.00016967845931958937;4;173507062;0
173561554;2;15915;2;0.00012566760917373548;2;173561554;0
173566821;3;29776;2;0.00010075228371843095;3;173566821;0
173571419;2;5476;2;0.0003652300949598247;2;173571419;0
173572245;4;15842;4;0.0002524933720489837;4;173572245;0
173586600;3;32047;3;9.361250663088588e-05;3;173586600;0
173648044;3;10052;2;0.0002984480700358138;3;173648044;0
173666898;6;40673;5;0.00014751800949032527;6;173666898;0
173671926;4;15140;3;0.0002642007926023778;4;173671926;0
173672250;5;34509;5;0.0001448897389086905;5;173672250;0
173674701;3;22177;3;0.00013527528520539296;3;173674701;0
173693256;6;27317;6;0.00021964344547351465;6;173693256;0
173728394;2;15479;1;0.00012920731313392338;2;173728394;0
173743606;2;9186;2;0.00021772262138036142;2;173743606;0
173759511;3;28615;2;0.00010484011881880133;3;173759511;0
173765849;4;22483;4;0.00017791220032913757;4;173765849;0
173767918;4;27401;3;0.00014598007371993723;4;173767918;0
173785936;4;21960;4;0.00018214936247723133;4;173785936;0
173798528;3;22191;3;0.000135189941868325;3;173798528;0
173807476;2;1198;2;0.001669449081803005;2;173807476;0
173852452;3;27148;2;0.00011050537792839252;3;173852452;0
173878791;5;38294;4;0.00013056875750770355;5;173878791;0
173880285;6;27580;4;0.00021754894851341551;6;173880285;0
173887373;4;34470;3;0.00011604293588627792;4;173887373;0
173904227;4;17895;3;0.00022352612461581448;4;173904227;0
173909720;5;38325;4;0.0001304631441617743;5;173909720;0
173917154;4;32503;3;0.0001230655631787835;4;173917154;0
173922997;3;22994;2;0.00013046881795250934;3;173922997;0
173953353;3;38620;2;7.767995857068877e-05;3;173953353;0
173956579;6;38169;4;0.00015719562996148708;6;173956579;0
173972314;1;0;1;0.0;1;173972314;0
173978623;3;29413;3;0.00010199571617992044;3;173978623;0
174041446;4;18687;3;0.0002140525499010007;4;174041446;0
174043882;6;27602;6;0.00021737555249619594;6;174043882;0
174057174;2;7209;2;0.00027743098904147595;2;174057174;0
174082209;8;32822;6;0.00024373895557857535;8;174082209;0
174090271;4;30390;2;0.00013162224415926292;4;174090271;0
174095546;3;23570;3;0.00012728044123886295;3;174095546;0
174097811;6;40830;6;0.00014695077149155033;6;174097811;0
174113497;2;35681;2;5.605224068832152e-05;2;174113497;0
174151650;3;28362;3;0.00010577533319229955;3;174151650;0
174155484;1;0;1;0.0;1;174155484;0
174179495;3;20598;2;0.00014564520827264782;3;174179495;0
174186099;3;14623;3;0.0002051562606852219;3;174186099;0
174206615;1;0;1;0.0;1;174206615;0
174229394;5;20330;5;0.00024594195769798326;5;174229394;0
174252022;1;0;1;0.0;1;174252022;0
174259337;2;15163;1;0.00013190001978500296;2;174259337;0
174263194;2;12547;2;0.00015940065354267953;2;174263194;0
174284424;3;27711;2;0.00010826025765941322;3;174284424;0
174296199;7;33639;3;0.00020809179821041054;7;174296199;0
174308104;4;25831;3;0.0001548526963725756;4;174308104;0
174350163;4;26145;4;0.00015299292407726142;4;174350163;0
174420535;2;3602;2;0.000555247084952804;2;174420535;0
174492092;3;1975;2;0.0015189873417721519;3;174492092;0
174509909;1;0;1;0.0;1;174509909;0
174524157;2;15566;1;0.00012848515996402416;2;174524157;0
174532436;2;18280;2;0.00010940919037199125;2;174532436;0
174540804;5;28341;3;0.00017642285028756925;5;174540804;0
174574590;1;0;1;0.0;1;174574590;0
174626942;3;22083;2;0.00013585110718652356;3;174626942;0
174627354;5;24526;2;0.00020386528581913072;5;174627354;0
174636825;2;30151;2;6.633279161553514e-05;2;174636825;0
174665497;3;35574;3;8.433125316242199e-05;3;174665497;0
174680716;1;0;1;0.0;1;174680716;0
174719206;4;27279;3;0.00014663294109021593;4;174719206;0
174722145;3;12191;2;0.00024608317611352635;3;174722145;0
174738499;1;0;1;0.0;1;174738499;0
174762004;2;9137;2;0.0002188902265513845;2;174762004;0
174785292;3;36729;3;8.167932696234583e-05;3;174785292;0
174838711;3;23333;3;0.0001285732653323619;3;174838711;0
174852098;1;0;1;0.0;1;174852098;0
174858746;3;9553;3;0.0003140374751386999;3;174858746;0
174884951;7;35827;2;0.00019538337008401485;7;174884951;0
174907011;3;36925;2;8.124576844955992e-05;3;174907011;0
174947672;2;26135;1;7.652573177731012e-05;2;174947672;0
174965422;2;6914;2;0.0002892681515765114;2;174965422;0
174971160;6;28370;3;0.00021149101163200565;6;174971160;0
175012753;5;23152;4;0.00021596406357982033;5;175012753;0
175043537;4;12435;3;0.0003216726980297547;4;175043537;0
175052985;4;31776;4;0.00012588116817724068;4;175052985;0
175083489;1;0;1;0.0;1;175083489;0
175099823;2;21858;2;9.149967975112087e-05;2;175099823;0
175102093;8;38896;5;0.00020567667626491157;8;175102093;0
175102537;3;32477;3;9.237306401453336e-05;3;175102537;0
175103999;5;35583;4;0.00014051653879661635;5;175103999;0
175124492;3;16202;2;0.00018516232563881003;3;175124492;0
175129215;1;0;1;0.0;1;175129215;0
175154775;3;11781;2;0.00025464731347084286;3;175154775;0
175174561;2;18979;2;0.00010537963011749828;2;175174561;0
175183224;6;18772;3;0.00031962497336458556;6;175183224;0
175193267;1;0;1;0.0;1;175193267;0
175202287;8;24262;7;0.000329733740004946;8;175202287;0
175212041;3;574;2;0.005226480836236934;3;175212041;0
175251778;4;37500;3;0.00010666666666666667;4;175251778;0
175262501;1;0;1;0.0;1;175262501;0
175272847;2;19470;2;0.00010272213662044171;2;175272847;0
175283045;2;1468;2;0.0013623978201634877;2;175283045;0
175292764;2;10842;2;0.00018446781036709093;2;175292764;0
175300204;3;14197;3;0.00021131224906670423;3;175300204;0
175314916;6;31861;5;0.00018831800634003956;6;175314916;0
175318309;2;7637;2;0.00026188293832656804;2;175318309;0
175330126;2;9053;2;0.00022092124157737766;2;175330126;0
175362012;5;41376;5;0.0001208430007733952;5;175362012;0
175365873;1;0;1;0.0;1;175365873;0
175375674;5;35822;5;0.00013957902964658589;5;175375674;0
175398333;3;24908;3;0.00012044323109041271;3;175398333;0
175401107;5;32898;2;0.0001519849230956289;5;175401107;0
175432635;1;0;1;0.0;1;175432635;0
175436380;3;30383;2;9.873942665306256e-05;3;175436380;0
175472460;3;11275;3;0.00026607538802660754;3;175472460;0
175492112;2;31624;1;6.324310650139134e-05;2;175492112;0
175495531;2;14968;1;0.00013361838588989844;2;175495531;0
175519910;3;10467;3;0.00028661507595299513;3;175519910;0
175537559;4;14199;4;0.00028170997957602646;4;175537559;0
175564232;3;36750;3;8.163265306122449e-05;3;175564232;0
175584331;3;26028;3;0.0001152604887044721;3;175584331;0
175591856;4;41414;3;9.658569565847298e-05;4;175591856;0
175603115;7;34214;7;0.0002045946103934062;7;175603115;0
175636267;1;0;1;0.0;1;175636267;0
175650740;4;27465;2;0.00014563990533406152;4;175650740;0
175694530;3;34905;3;8.594757198109153e-05;3;175694530;0
175717313;2;1485;2;0.0013468013468013469;2;175717313;0
175771465;1;0;1;0.0;1;175771465;0
175783310;3;10501;3;0.000285687077421198;3;175783310;0
175841958;4;31618;4;0.00012651021569991776;4;175841958;0
175851387;5;30422;3;0.000164354743277891;5;175851387;0
175861517;8;33769;5;0.00023690366904557435;8;175861517;0
175863214;5;22526;4;0.0002219657284915209;5;175863214;0
175921626;1;0;1;0.0;1;175921626;0
175958956;1;0;1;0.0;1;175958956;0
175967151;3;38813;3;7.729369025841857e-05;3;175967151;0
176008187;2;18051;2;0.00011079718575148191;2;176008187;0
176021641;8;41411;5;0.000193185385525585;8;176021641;0
176027474;3;13541;2;0.00022154936858429953;3;176027474;0
176039486;3;19369;2;0.0001548866745830967;3;176039486;0
176043560;4;20249;2;0.00019754061928984148;4;176043560;0
176110774;4;10163;4;0.0003935845714847978;4;176110774;0
176114472;3;32321;3;9.281891030599301e-05;3;176114472;0
176127149;3;28526;2;0.00010516721587323845;3;176127149;0
176147303;5;20615;4;0.00024254183846713557;5;176147303;0
176182579;4;38393;2;0.00010418565884406011;4;176182579;0
176183807;3;4426;2;0.0006778129236330773;3;176183807;0
176196350;2;1906;1;0.001049317943336831;2;176196350;0
176196959;5;33932;3;0.00014735353059059294;5;176196959;0
176203728;5;28571;3;0.0001750026250393756;5;176203728;0
176238704;2;20128;2;9.936406995230525e-05;2;176238704;0
176254145;2;19233;2;0.00010398793739926168;2;176254145;0
176258581;3;31541;3;9.51142956786405e-05;3;176258581;0
176262540;6;36324;2;0.00016518004625041294;6;176262540;0
176282922;10;43121;7;0.00023190556805268895;10;176282922;0
176302488;1;0;1;0.0;1;176302488;0
176338178;4;25586;2;0.000156335495974361;4;176338178;0
176338470;4;38487;3;0.00010393119754722374;4;176338470;0
176344646;1;0;1;0.0;1;176344646;0
176347111;3;32285;2;9.292240978782717e-05;3;176347111;0
176348550;4;28762;3;0.0001390723871775259;4;176348550;0
176372365;2;693;1;0.002886002886002886;2;176372365;0
176406797;2;2761;2;0.0007243752263672582;2;176406797;0
176465265;5;34744;3;0.00014390973981119043;5;176465265;0
176530735;1;0;1;0.0;1;176530735;0
176539588;1;0;1;0.0;1;176539588;0
176584065;5;39856;2;0.00012545162585307106;5;176584065;0
176616947;4;24829;3;0.00016110193725079545;4;176616947;0
176630524;1;0;1;0.0;1;176630524;0
176632759;3;23354;3;0.0001284576517941252;3;176632759;0
176663905;3;18760;2;0.00015991471215351814;3;176663905;0
176672830;2;11902;1;0.00016803898504453034;2;176672830;0
176690411;3;4480;3;0.0006696428571428571;3;176690411;0
176722937;2;37243;1;5.370136669978251e-05;2;176722937;0
176733268;3;37475;3;8.00533689126084e-05;3;176733268;0
176811885;7;21573;3;0.0003244796736661568;7;176811885;0
176825583;2;2668;2;0.0007496251874062968;2;176825583;0
176871580;4;22516;2;0.00017765144785930004;4;176871580;0
176878734;2;5232;2;0.00038226299694189603;2;176878734;0
176898477;3;10577;3;0.00028363430084144843;3;176898477;0
176901028;2;3895;2;0.0005134788189987163;2;176901028;0
176939390;3;13239;2;0.00022660321776569228;3;176939390;0
176962254;5;33778;4;0.00014802534193853988;5;176962254;0
177012010;9;41296;7;0.00021793878341728012;9;177012010;0
177018111;4;22148;3;0.00018060321473722233;4;177018111;0
177019725;2;3231;1;0.0006190034045187249;2;177019725;0
177055913;4;37329;3;0.00010715529481100485;4;177055913;0
177070301;4;30818;4;0.0001297942760724252;4;177070301;0
